seq,seq,N,S,dN,dS,dN/dS,Paras.,,,
10,4,17138.8,6150.2,0.0139,0.0768,0.1816,0.0916,1.8853,0.1816,-35053.967
10,5,16931.1,6357.9,0.0125,0.1025,0.1221,0.1113,2.427,0.1221,-35375.17
10,6,16908.7,6380.3,0.013,0.0924,0.1404,0.1042,2.4489,0.1404,-35268.853
10,7,16928.6,6360.4,0.0127,0.0991,0.1283,0.1089,2.4356,0.1283,-35348.481
10,8,16881.5,6407.5,0.0121,0.102,0.1188,0.1106,2.5598,0.1188,-35342.544
10,9,17029.6,6259.4,0.0021,0.0166,0.1242,0.0179,2.1172,0.1242,-32464.075
11,1,16831.7,6457.3,0.0134,0.0893,0.1504,0.1034,2.7712,0.1504,-35230.924
11,2,16946,6343,0.0149,0.0998,0.1493,0.1141,2.433,0.1493,-35540.846
11,3,16991.4,6297.6,0.0051,0.028,0.1836,0.0339,2.2905,0.1836,-33119.794
11,4,16983.5,6305.5,0.0203,0.1159,0.1755,0.1386,2.3235,0.1755,-36259.891
11,5,17070.2,6218.8,0.0055,0.0337,0.1634,0.0391,2.0876,0.1634,-33286.685
11,6,16867.2,6421.8,0.0135,0.0859,0.157,0.1004,2.6289,0.157,-35171.263
11,7,16947.8,6341.2,0.0076,0.0465,0.1633,0.0546,2.4261,0.1633,-33831.482
11,8,17032.5,6256.5,0.0054,0.0309,0.1765,0.0368,2.1687,0.1765,-33225.499
11,9,16852.5,6436.5,0.0135,0.1013,0.1329,0.1132,2.6849,0.1329,-35445.59
11,10,16914.1,6374.9,0.0134,0.1033,0.1298,0.114,2.4817,0.1298,-35471.632
12,1,16779.5,6509.5,0.0124,0.0884,0.1399,0.1009,2.9697,0.1399,-35125.215
12,2,16944.2,6344.8,0.014,0.0994,0.1405,0.1118,2.4457,0.1405,-35458.217
12,3,16863.3,6425.7,0.0047,0.0321,0.1461,0.0367,2.6922,0.1461,-33180.647
12,4,16969,6320,0.0197,0.1173,0.168,0.1386,2.3731,0.168,-36225.005
12,5,16959.6,6329.4,0.0047,0.0248,0.1877,0.0304,2.3982,0.1877,-32975.08
12,6,16835.9,6453.1,0.0128,0.085,0.15,0.0984,2.7427,0.15,-35094.363
12,7,16891.4,6397.6,0.007,0.0439,0.159,0.0514,2.6103,0.159,-33715.201
12,8,16873.9,6415.1,0.0048,0.0329,0.1446,0.0376,2.6454,0.1446,-33215.389
12,9,16822.5,6466.5,0.0126,0.101,0.125,0.1115,2.7974,0.125,-35365.651
12,10,16879.6,6409.4,0.0126,0.1022,0.1237,0.1118,2.5984,0.1237,-35384.739
12,11,16979.8,6309.2,0.0064,0.0355,0.1802,0.0428,2.3423,0.1802,-33432.281
13,1,16953.5,6335.5,0.0112,0.0692,0.1612,0.0808,2.3564,0.1612,-34657.149
13,2,17086.1,6202.9,0.0134,0.0824,0.1623,0.0952,2.0282,0.1623,-35105.726
13,3,16944.3,6344.7,0.0105,0.0771,0.1363,0.0859,2.3994,0.1363,-34747.987
13,4,17101.6,6187.4,0.0193,0.0961,0.2008,0.1191,1.9897,0.2008,-35855.803
13,5,16971.5,6317.5,0.0108,0.0739,0.1467,0.0838,2.3292,0.1467,-34705.67
13,6,16838.2,6450.8,0.0091,0.0582,0.1569,0.0682,2.6944,0.1569,-34250.505
13,7,16942.9,6346.1,0.0112,0.0729,0.1539,0.0841,2.4137,0.1539,-34739.547
13,8,16919.1,6369.9,0.01,0.0748,0.1339,0.0832,2.4644,0.1339,-34658.155
13,9,16955.9,6333.1,0.0128,0.086,0.1486,0.0981,2.3363,0.1486,-35129.489
13,10,16999.9,6289.1,0.013,0.0865,0.1509,0.0986,2.2101,0.1509,-35156.622
13,11,16972,6317,0.0125,0.077,0.1621,0.0899,2.3307,0.1621,-34919.267
13,12,16946.8,6342.2,0.0114,0.0749,0.1521,0.086,2.4119,0.1521,-34782.463
14,1,16987.5,6301.5,0.0118,0.067,0.1759,0.0802,2.268,0.1759,-34673.596
14,2,17138.2,6150.8,0.0137,0.0837,0.1639,0.0967,1.9118,0.1639,-35159.584
14,3,16941.9,6347.1,0.0119,0.0814,0.1462,0.0925,2.4141,0.1462,-34964.147
14,4,17153.2,6135.8,0.0195,0.0958,0.2039,0.1189,1.8759,0.2039,-35868.462
14,5,16983.8,6305.2,0.0125,0.0802,0.1553,0.0924,2.3019,0.1553,-34973.216
14,6,17008.7,6280.3,0.0105,0.0637,0.1647,0.0745,2.1923,0.1647,-34483.148
14,7,16989.8,6299.2,0.0123,0.0764,0.161,0.089,2.2863,0.161,-34908.57
14,8,16955,6334,0.0115,0.079,0.1453,0.0895,2.3655,0.1453,-34875.903
14,9,16975.9,6313.1,0.0134,0.0837,0.1598,0.0973,2.287,0.1598,-35138.711
14,10,17043.8,6245.2,0.0137,0.0836,0.1644,0.0974,2.1022,0.1644,-35162.679
14,11,16995.2,6293.8,0.0137,0.0806,0.1697,0.0953,2.2732,0.1697,-35098.898
14,12,16951.3,6337.7,0.0126,0.0794,0.159,0.0923,2.4061,0.159,-34982.152
14,13,17156,6133,0.0096,0.042,0.2279,0.0543,1.8514,0.2279,-33920.83
15,1,16917.2,6371.8,0.0114,0.0657,0.1738,0.0788,2.4653,0.1738,-34601.247
15,2,17015.9,6273.1,0.0132,0.0836,0.1584,0.0966,2.2105,0.1584,-35103.235
15,3,16913.8,6375.2,0.0114,0.0797,0.1434,0.0903,2.4932,0.1434,-34880.969
